NomeAnonimo,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,31,Presença,Falta
Nome169,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome170,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome171,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome172,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome173,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome174,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome175,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome176,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome177,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome178,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome179,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome180,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome181,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome182,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome183,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome184,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome185,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome186,,,,,,,,,,,,,,,,,,,,0.0,0.0
Nome187,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,19.0,0.0
